village_code,postal_code
1101012002,23773
1101012003,23773
1101012004,23773
1101012015,23773
1101012016,23773
1101012017,23773
1101022001,23771
1101022002,23771
1101022003,23771
1101022004,23771
1101022005,23771
1101022006,23771
1101022007,23771
1101022008,23771
1101022009,23771
1101022010,23771
1101022011,23771
1101022012,23771
1101022013,23771
1101022014,23771
1101022015,23771
1101022016,23771
1101022017,23771
1101022018,23771
1101022019,23771
1101022020,23771
1101022021,23771
1101032001,23772
1101032002,23772
1101032003,23772
1101032004,23772
1101032005,23772
1101032006,23772
1101032007,23772
1101032008,23772
1101032009,23772
1101032010,23772
1101032011,23772
1101032012,23772
1101032013,23772
1101032014,23772
1101032015,23772
1101032016,23772
1101032017,23772
1101042001,23761
1101042002,23761
1101042003,23761
1101042004,23761
1101042005,23761
1101042006,23761
1101042007,23761
1101042008,23761
1101042009,23761
1101042010,23761
1101042011,23761
1101042012,23761
1101042013,23761
1101042014,23761
1101042015,23761
1101042016,23761
1101052001,23754
1101052002,23754
1101052003,23754
1101052004,23754
1101052005,23754
1101052006,23754
1101052007,23754
1101052008,23754
1101052009,23754
1101052010,23754
1101052011,23754
1101052012,23754
1101052013,23754
1101052014,23754
1101052015,23754
1101052016,23754
1101052017,23754
1101052018,23754
1101052019,23754
1101052020,23754
1101052021,23754
1101052022,23754
1101052023,23754
1101062001,23752
1101062002,23752
1101062003,23752
1101062004,23752
1101062005,23752
1101062006,23752
1101062007,23752
1101062008,23752
1101062009,23752
1101062010,23752
1101062011,23752
1101062012,23752
1101062013,23752
1101062014,23752
1101062015,23752
1101062016,23752
1101062017,23752
1101062018,23752
1101062019,23752
1101062020,23752
1101062021,23752
1101062022,23752
1101062023,23752
1101062024,23752
1101062025,23752
1101062026,23752
1101062027,23752
1101062028,23752
1101072001,23753
1101072002,23753
1101072003,23753
1101072004,23753
1101072005,23753
1101072006,23753
1101072007,23753
1101072008,23753
1101072009,23753
1101072010,23753
1101072011,23753
1101072012,23753
1101072013,23753
1101072014,23753
1101072015,23753
1101082001,23718
1101082002,23717
1101082003,23713
1101082004,23714
1101082005,23716
1101082006,23712
1101082007,23711
1101082008,23715
1101082009,23711
1101082010,23711
1101082011,23711
1101082012,23711
1101082013,23711
1101082014,23711
1101082015,23711
1101082016,23712
1101092001,23774
1101092002,23774
1101092003,23774
1101092004,23774
1101092005,23774
1101092006,23774
1101092007,23774
1101092012,23774
1101092013,23774
1101092014,23774
1101092015,23774
1101092016,23774
1101102001,23755
1101102002,23755
1101102003,23755
1101102004,23755
1101102005,23755
1101102006,23755
1101102007,23755
1101102008,23755
1101102009,23755
1101102010,23755
1101102011,23755
1101102012,23755
1101102013,23755
1101102014,23755
1101102015,23755
1101102016,23755
1101102017,23755
1101102018,23755
1101102019,23755
1101102020,23755
1101102021,23755
1101112001,23758
1101112002,23758
1101112003,23758
1101112004,23758
1101112005,23758
1101112006,23758
1101112007,23758
1101112008,23758
1101112009,23758
1101112010,23758
1101112011,23758
1101112012,23758
1101122001,23757
1101122002,23757
1101122003,23757
1101122004,23757
1101122005,23757
1101122006,23757
1101122007,23757
1101122008,23757
1101122009,23757
1101122010,23757
1101122011,23757
1101122012,23757
1101122013,23757
1101122014,23757
1101122015,23757
1101132001,23770
1101132002,23770
1101132003,23770
1101132004,23770
1101132005,23770
1101132006,23770
1101132007,23770
1101132008,23770
1101132009,23770
1101132010,23770
1101132011,23770
1101132012,23770
1101132013,23770
1101142001,23779
1101142002,23779
1101142003,23779
1101142004,23779
1101142005,23779
1101142006,23779
1101142007,23779
1101142008,23779
1101142009,23779
1101152001,23777
1101152002,23777
1101152003,23777
1101152004,23777
1101152005,23777
1101152006,23777
1101152008,23777
1101162005,23776
1101162006,23776
1101162007,23776
1101162008,23776
1101162009,23776
1101162010,23776
1101162011,23776
1101162012,23776
1101172001,23778
1101172002,23778
1101172003,23778
1101172004,23778
1101172005,23778
1101172006,23778
1101172007,23778
1101172008,23778
1101172009,23778
1101172010,23778
1101182001,23775
1101182002,23775
1101182003,23775
1101182004,23775
1101182005,23775
1101182006,23775
1101182007,23775
1101182008,23775
1101182009,23775
1101182010,23775
1102012001,24661
1102012002,24661
1102012004,24661
1102012006,24661
1102012007,24661
1102012008,24661
1102012009,24661
1102012011,24661
1102012012,24661
1102012013,24661
1102012014,24661
1102012015,24661
1102012016,24661
1102012017,24661
1102012018,24661
1102012019,24661
1102012020,24661
1102012021,24661
1102012022,24661
1102012023,24661
1102012024,24661
1102012025,24661
1102012026,24661
1102012027,24661
1102012028,24661
1102012029,24661
1102012030,24661
1102012031,24661
1102022001,24676
1102022002,24676
1102022003,24676
1102022004,24676
1102022005,24676
1102022006,24676
1102022007,24676
1102022008,24676
1102022009,24676
1102022010,24676
1102022011,24676
1102022012,24676
1102022013,24676
1102022014,24676
1102022015,24676
1102022016,24676
1102022017,24676
1102022018,24676
1102022019,24676
1102022020,24676
1102022021,24676
1102022022,24676
1102022023,24676
1102022024,24676
1102022025,24676
1102022026,24676
1102022027,24676
1102022028,24676
1102022029,24676
1102022030,24676
1102022031,24676
1102022032,24676
1102022033,24676
1102022034,24676
1102022035,24676
1102032001,24672
1102032002,24672
1102032005,24672
1102032006,24672
1102032009,24672
1102032011,24672
1102032012,24672
1102032013,24672
1102032014,24672
1102032015,24672
1102032016,24672
1102032017,24672
1102032018,24672
1102032019,24672
1102032020,24672
1102032021,24672
1102032023,24672
1102032025,24672
1102032026,24672
1102032027,24672
1102032028,24672
1102032029,24672
1102032031,24672
1102032033,24672
1102032034,24672
1102032035,24672
1102032036,24672
1102032037,24672
1102032038,24672
1102032039,24672
1102032040,24672
1102032041,24672
1102032042,24672
1102042001,24664
1102042002,24664
1102042003,24664
1102042004,24664
1102042005,24664
1102042006,24664
1102042007,24664
1102042008,24664
1102042009,24664
1102042010,24664
1102042011,24664
1102042012,24664
1102042013,24664
1102042014,24664
1102042015,24664
1102042016,24664
1102042017,24664
1102042018,24664
1102042019,24664
1102042020,24664
1102042021,24664
1102042022,24664
1102042023,24664
1102042024,24664
1102042025,24664
1102042026,24664
1102042027,24664
1102052005,24666
1102052009,24666
1102052011,24666
1102052012,24666
1102052013,24666
1102052014,24666
1102052015,24666
1102052025,24666
1102052026,24666
1102052027,24666
1102052029,24666
1102052030,24666
1102052031,24666
1102052032,24666
1102052033,24666
1102052034,24666
1102052035,24666
1102052036,24666
1102062001,24673
1102062002,24673
1102062003,24673
1102062004,24673
1102062005,24673
1102062006,24673
1102062007,24673
1102062008,24673
1102062010,24673
1102062011,24673
1102062012,24673
1102062013,24673
1102062014,24673
1102062015,24673
1102062016,24673
1102062017,24673
1102062018,24673
1102062024,24673
1102062025,24673
1102062026,24673
1102062027,24673
1102072001,24663
1102072002,24663
1102072003,24663
1102072004,24663
1102072005,24663
1102072006,24663
1102072007,24663
1102072008,24663
1102072009,24663
1102072010,24663
1102072011,24663
1102072012,24663
1102072013,24663
1102072014,24663
1102072015,24663
1102072016,24663
1102072017,24663
1102072018,24663
1102072019,24663
1102072020,24663
1102072021,24663
1102072022,24663
1102072023,24663
1102072024,24663
1102072025,24663
1102072026,24663
1102072027,24663
1102072028,24663
1102082001,24665
1102082002,24665
1102082003,24665
1102082004,24665
1102082005,24665
1102082006,24665
1102082011,24665
1102082012,24665
1102082013,24665
1102082014,24665
1102082015,24665
1102082016,24665
1102082017,24665
1102082018,24665
1102082019,24665
1102082020,24665
1102082021,24665
1102082023,24665
1102082025,24665
1102082026,24665
1102082027,24665
1102082028,24665
1102082029,24665
1102082030,24665
1102092001,24671
1102092002,24671
1102092003,24671
1102092004,24671
1102092005,24671
1102092006,24671
1102092007,24671
1102092008,24671
1102092010,24671
1102092011,24671
1102092012,24671
1102092013,24671
1102092014,24671
1102092015,24671
1102092016,24671
1102092017,24671
1102092018,24671
1102092019,24671
1102092020,24671
1102092021,24671
1102092022,24671
1102092023,24671
1102092024,24671
1102102001,24678
1102102002,24678
1102102003,24678
1102102004,24678
1102102005,24678
1102102006,24678
1102102007,24678
1102102008,24678
1102102009,24678
1102102010,24678
1102102011,24678
1102102012,24678
1102102013,24678
1102102014,24678
1102102015,24678
1102102016,24678
1102102017,24678
1102102018,24678
1102102019,24678
1102112004,24675
1102112005,24675
1102112006,24675
1102112007,24675
1102112008,24675
1102112009,24675
1102112010,24675
1102112011,24675
1102112012,24675
1102112013,24675
1102112014,24675
1102112015,24675
1102112016,24675
1102112017,24675
1102112018,24675
1102112019,24675
1102112020,24675
1102112021,24675
1102112022,24675
1102112023,24675
1102112024,24675
1102112025,24675
1102112026,24675
1102112027,24675
1102112028,24675
1102112029,24675
1102112030,24675
1102122001,24662
1102122002,24662
1102122003,24662
1102122004,24662
1102122005,24662
1102122006,24662
1102122007,24662
1102122008,24662
1102122009,24662
1102122010,24662
1102122011,24662
1102122012,24662
1102122013,24662
1102122014,24662
1102122015,24662
1102122016,24662
1102122017,24662
1102122018,24662
1102122019,24662
1102122020,24662
1102122021,24662
1102122022,24662
1102122023,24662
1102122024,24662
1102122025,24662
1102132001,24660
1102132002,24660
1102132003,24660
1102132004,24660
1102132005,24660
1102132006,24660
1102132007,24660
1102132008,24660
1102132009,24660
1102132010,24660
1102132011,24660
1102132012,24660
1102132013,24660
1102132014,24660
1102132015,24660
1102132016,24660
1102132017,24660
1102132018,24660
1102132019,24660
1102132020,24660
1102132021,24660
1102132022,24660
1102142001,24670
1102142002,24670
1102142003,24670
1102142004,24670
1102142005,24670
1102142006,24670
1102142007,24670
1102142008,24670
1102142009,24670
1102142010,24670
1102142011,24670
1102142012,24670
1102142013,24670
1102142014,24670
1102142015,24670
1102142016,24670
1102142017,24670
1102142018,24670
1102152001,24674
1102152002,24674
1102152003,24674
1102152004,24674
1102152006,24674
1102152007,24674
1102152008,24674
1102152009,24674
1102152010,24674
1102152011,24674
1102152012,24674
1102152013,24674
1102152014,24674
1102152015,24674
1102162001,24677
1102162002,24677
1102162003,24677
1102162004,24677
1102162005,24677
1102162006,24677
1102162007,24677
1102162008,24677
1102162009,24677
1102162010,24677
1102162011,24677
1102162012,24677
1102162013,24677
1102162014,24677
1102162015,24677
1102162016,24677
1102162017,24677
1102162018,24677
1102162019,24677
1102162020,24677
1102162021,24677
1102162022,24677
1102162023,24677
1103012001,24455
1103012002,24455
1103012003,24455
1103012004,24455
1103012005,24455
1103012006,24455
1103012007,24455
1103012008,24455
1103012009,24455
1103012010,24455
1103012011,24455
1103012012,24455
1103012013,24455
1103012014,24455
1103012015,24455
1103012016,24455
1103012017,24455
1103012018,24455
1103012019,24455
1103012020,24455
1103012021,24455
1103012022,24455
1103012023,24455
1103012024,24455
1103012025,24455
1103012026,24455
1103012027,24455
1103012028,24455
1103012029,24455
1103012030,24455
1103012031,24455
1103012032,24455
1103012034,24455
1103012035,24455
1103012036,24455
1103012037,24455
1103012038,24455
1103012039,24455
1103012040,24455
1103012041,24455
1103012042,24455
1103012043,24455
1103012044,24455
1103012045,24455
1103012046,24455
1103022001,24459
1103022002,24459
1103022003,24459
1103022004,24459
1103022005,24459
1103022006,24459
1103022007,24459
1103022008,24459
1103022009,24459
1103022010,24459
1103022011,24459
1103022012,24459
1103022013,24459
1103022014,24459
1103022015,24459
1103022016,24459
1103022017,24459
1103022018,24459
1103022019,24459
1103022020,24459
1103022021,24459
1103022022,24459
1103022023,24459
1103022024,24459
